genes,num_genes,mse
"mstn,bambi",2,8.07314151749704
"mstn,tmt1a",2,8.033201205138054
"mstn,sfmbt1",2,7.9743896287329745
"mstn,fcrl6",2,7.985381941932502
"mstn,aifm2",2,8.07628430805298
"mstn,pfn2",2,8.097216091367422
"mstn,fyn",2,7.974569150963891
"mstn,lrrc37a2",2,7.991524862769913
"mstn,osbp2",2,8.019382789173267
"bambi,tmt1a",2,8.002670674356427
"bambi,sfmbt1",2,8.003688005252563
"bambi,fcrl6",2,8.013166407701389
"bambi,aifm2",2,8.028254674269942
"bambi,pfn2",2,8.046180982259456
"bambi,fyn",2,8.017234012028958
"bambi,lrrc37a2",2,8.019718051574015
"bambi,osbp2",2,8.05198797869995
"tmt1a,sfmbt1",2,8.068457043726294
"tmt1a,fcrl6",2,8.020931708144042
"tmt1a,aifm2",2,8.049609872416196
"tmt1a,pfn2",2,8.108773514363278
"tmt1a,fyn",2,8.024670498341584
"tmt1a,lrrc37a2",2,8.051160184146806
"tmt1a,osbp2",2,8.04207676371384
"sfmbt1,fcrl6",2,8.053353747877003
"sfmbt1,aifm2",2,8.043897772564467
"sfmbt1,pfn2",2,8.071832397787468
"sfmbt1,fyn",2,8.157127955075419
"sfmbt1,lrrc37a2",2,8.054921259054682
"sfmbt1,osbp2",2,8.062587415637173
"fcrl6,aifm2",2,8.049866248316803
"fcrl6,pfn2",2,8.06885625972297
"fcrl6,fyn",2,8.080157296729901
"fcrl6,lrrc37a2",2,8.038938654935851
"fcrl6,osbp2",2,8.049271217593544
"aifm2,pfn2",2,8.083080956396413
"aifm2,fyn",2,8.064680095007686
"aifm2,lrrc37a2",2,8.037670040195477
"aifm2,osbp2",2,8.062026684323575
"pfn2,fyn",2,8.050570636863174
"pfn2,lrrc37a2",2,8.06235201222463
"pfn2,osbp2",2,8.061583645291455
"fyn,lrrc37a2",2,8.10148489765357
"fyn,osbp2",2,8.020146275746573
"lrrc37a2,osbp2",2,8.04212783494617
"mstn,bambi,tmt1a",3,7.991689475635789
"mstn,bambi,sfmbt1",3,7.943964698679487
"mstn,bambi,fcrl6",3,7.935758933112643
"mstn,bambi,aifm2",3,8.020988813624736
"mstn,bambi,pfn2",3,8.053715550677708
"mstn,bambi,fyn",3,7.949517174380253
