gene,mse
a1bg,8.316606346937093
a1cf,8.266553507309625
a2m,8.257004833082163
a2ml1,8.282503060010752
a3galt2,8.269638880277789
a4galt,8.294575187703675
a4gnt,8.270619416104307
aaas,8.263774163103484
aacs,8.259442094771188
aadac,8.271827985938947
aadacl2,8.325951736220732
aadacl3,8.221627999616075
aadacl4,8.262101761478185
aadat,8.258623769855229
aagab,8.264016855443595
aak1,8.289078361046549
aamdc,8.21809828226834
aamp,8.3552568947714
aanat,8.263237201531615
aar2,8.263891874924925
aard,8.373488065386134
aars1,8.256547085007517
aars2,8.267394115762636
aasdh,8.356391597025688
aasdhppt,8.265313828800707
aass,8.253945341640879
aatf,8.275859493209694
aatk,8.268036272214392
abat,8.23994450905018
abca1,8.282766127704543
abca10,8.266095742721086
abca12,8.27938276817381
abca13,8.270276138549077
abca2,8.260705263411817
abca3,8.276694365576725
abca4,8.262385590262204
abca5,8.26236277666527
abca6,8.227277229742057
abca7,8.267909144001244
abca8,8.277761089591591
abca9,8.269305146905172
abcb1,8.253979546633541
abcb10,8.263963558025734
abcb11,8.267650070885516
abcb4,8.239732867334578
abcb5,8.259674582495512
abcb6,8.273942926067038
abcb7,8.274770128384029
abcb8,8.282820638748943
abcb9,8.262255372710989
abcc1,8.260309997305866
abcc10,8.282094677831113
abcc11,8.260247977221589
abcc12,8.262032099621818
abcc2,8.258689390748822
abcc3,8.299664552589809
abcc4,8.248617632713442
abcc5,8.267573232633442
abcc6,8.26326195590633
abcc8,8.262022672288554
abcc9,8.276178218700856
abcd1,8.256701086486837
abcd2,8.260010682102893
abcd3,8.263644102933126
abcd4,8.305256600773786
abce1,8.293767195942884
abcf1,8.25784470184851
abcf2,8.290247674535214
abcf3,8.261939882373571
abcg1,8.26829495356883
abcg2,8.266213706343457
abcg4,8.203566645335993
abcg5,8.260297532237093
abcg8,8.282086401672714
abhd1,8.25840966619253
abhd10,8.261587966197524
abhd11,8.282861227979208
abhd12,8.289737599471763
abhd12b,8.259605567519866
abhd13,8.262391602931094
abhd14a,8.249654334999306
abhd14b,8.258603877316824
abhd15,8.264045682917217
abhd16a,8.256258468830753
abhd16b,8.2771145004237
abhd17a,8.259748952709677
abhd17b,8.241841820930418
abhd17c,8.251538285758889
abhd18,8.281111336183686
abhd2,8.240487041415495
abhd3,8.248388973100925
abhd4,8.27445818782935
abhd5,8.246464482855941
abhd6,8.263997875372258
abhd8,8.232653677045024
abi1,8.255378215577307
abi2,8.258173979961917
abi3,8.262847770403821
abi3bp,8.267260353386842
abitram,8.263007551800943
abl1,8.27584831129512
abl2,8.257647179846096
ablim1,8.25487909154368
ablim2,8.25510561185507
ablim3,8.266237920441052
abo,8.254799919214054
abr,8.287166462725319
abra,8.259480145986352
abracl,8.262350756199048
abraxas1,8.259077253464593
abraxas2,8.26120634739288
abt1,8.259686130042157
abtb1,8.261644191932993
abtb2,8.292612679067513
abtb3,8.275513098913079
acaa1,8.259927245259002
acaa2,8.273776505506433
acaca,8.274465588292971
acacb,8.277225456836446
acad10,8.387157599657252
acad11,8.261966365221362
acad8,8.24607846319017
acad9,8.261894892933654
acadl,8.274060874365983
acadm,8.263715758213722
acads,8.265819949306666
acadsb,8.246241535542232
acadvl,8.298261232418763
acan,8.260670318776967
acap1,8.262823009052585
acap2,8.264851465264288
acap3,8.259746057461888
acat1,8.261739609412126
acat2,8.263048838892528
acbd3,8.256089883101456
acbd4,8.253936194930832
acbd5,8.287934981819882
acbd6,8.256654697738703
