genes,num_genes,mse
"fcrl6,osbp2",2,8.049271217593544
"fcrl6,bambi",2,8.013166407701389
"fcrl6,lrrc37a2",2,8.038938654935851
"fcrl6,fyn",2,8.080157296729901
"fcrl6,tmt1a",2,8.020931708144042
"fcrl6,aifm2",2,8.049866248316803
"fcrl6,mstn",2,7.985381941932502
"fcrl6,sfmbt1",2,8.053353747877003
"fcrl6,pfn2",2,8.06885625972297
"osbp2,bambi",2,8.05198797869995
"osbp2,lrrc37a2",2,8.04212783494617
"osbp2,fyn",2,8.020146275746573
"osbp2,tmt1a",2,8.04207676371384
"osbp2,aifm2",2,8.062026684323575
"osbp2,mstn",2,8.019382789173267
"osbp2,sfmbt1",2,8.062587415637173
"osbp2,pfn2",2,8.061583645291455
"bambi,lrrc37a2",2,8.019718051574015
"bambi,fyn",2,8.017234012028958
"bambi,tmt1a",2,8.002670674356427
"bambi,aifm2",2,8.028254674269942
"bambi,mstn",2,8.07314151749704
"bambi,sfmbt1",2,8.003688005252563
"bambi,pfn2",2,8.046180982259456
"lrrc37a2,fyn",2,8.10148489765357
"lrrc37a2,tmt1a",2,8.051160184146806
"lrrc37a2,aifm2",2,8.037670040195477
"lrrc37a2,mstn",2,7.991524862769913
"lrrc37a2,sfmbt1",2,8.054921259054682
"lrrc37a2,pfn2",2,8.06235201222463
"fyn,tmt1a",2,8.024670498341584
"fyn,aifm2",2,8.064680095007686
"fyn,mstn",2,7.974569150963891
"fyn,sfmbt1",2,8.157127955075419
"fyn,pfn2",2,8.050570636863174
"tmt1a,aifm2",2,8.049609872416196
"tmt1a,mstn",2,8.033201205138054
"tmt1a,sfmbt1",2,8.068457043726294
"tmt1a,pfn2",2,8.108773514363278
"aifm2,mstn",2,8.07628430805298
"aifm2,sfmbt1",2,8.043897772564467
"aifm2,pfn2",2,8.083080956396413
"mstn,sfmbt1",2,7.9743896287329745
"mstn,pfn2",2,8.097216091367422
"sfmbt1,pfn2",2,8.071832397787468
"fcrl6,osbp2,bambi",3,7.9430498605908175
"fcrl6,osbp2,lrrc37a2",3,7.933720816362531
"fcrl6,osbp2,fyn",3,7.956497713537277
"fcrl6,osbp2,tmt1a",3,7.931517325139594
